Time,open,high,low,close,50_EMA,7_RSI
09:18:00,36330.92976462641,36411.753337675545,36270.8815049181,36399.90808392892,36426.10302452073,60.82761749251376
09:21:00,36402.80824213738,36416.10950780505,36344.92058239911,36367.53656146224,36423.80630047922,47.904549147501044
09:24:00,36368.236719670815,36368.236719670815,36287.8644061832,36298.21503901802,36418.88115297094,31.294157927979725
09:27:00,36295.41519722672,36295.41519722672,36263.72468975036,36267.79351659627,36412.95614762292,26.576185556982068
09:30:00,36268.4436748051,36290.91076136292,36244.12199419699,36244.12199419699,36406.33520042975,23.376782893124457
09:33:00,36242.422152405954,36271.883543452575,36241.372310614905,36250.85047182019,36400.23776009212,26.318312543443227
09:36:00,36251.75063002927,36303.17831662903,36250.009647948,36298.078949465846,36396.231532224425,43.94161682801505
09:39:00,36298.42910767505,36314.75552862207,36279.83638529925,36300.65742713398,36392.483528103236,44.78283395596524
09:42:00,36300.65758534331,36301.25774355263,36246.58052570351,36259.535904824574,36387.2698958178,35.00838620599899
09:45:00,36258.88606303403,36284.307421316815,36257.13764512862,36268.06438253764,36382.59516980681,38.26852746182817
09:48:00,36266.41454074722,36293.888905030784,36266.0146989568,36281.24286027318,36378.62056943295,43.388031295170116
09:51:00,36283.69301848288,36344.06801562492,36282.443176692585,36327.12133803118,36376.60099173091,57.65210576710865
09:54:00,36327.371496241016,36402.99158889499,36327.371496241016,36360.349815811656,36375.963690714474,65.08553156376436
09:57:00,36362.449974021605,36391.76816817098,36360.51278903021,36380.4282936146,36376.13877318115,68.9302305994691
10:00:00,36381.428451824686,36387.83272349708,36364.38921011169,36367.656771440015,36375.80614566189,63.72294475586029
10:03:00,36370.05692965021,36403.80882817272,36358.82101036115,36401.6852492879,36376.821012470755,70.62175482074598
10:06:00,36401.535407498224,36465.00660768856,36400.38572391889,36454.91372715825,36379.883471870264,78.19065915169818
10:09:00,36452.3138853687,36457.72891536496,36431.23983189248,36436.54220505107,36382.105382975395,70.84142114928295
10:12:00,36442.39236326164,36492.814038117445,36442.39236326164,36485.87068296636,36386.174610426024,77.47386385885449
10:15:00,36486.42084117706,36516.04726237423,36473.28682046166,36512.54916090411,36391.130475150654,80.30108388260143
10:18:00,36510.79931911494,36519.60011016909,36491.65928639851,36515.02763886435,36395.98918745315,80.56545744834197
10:21:00,36515.927797075296,36552.18760615573,36498.35611684704,36498.35611684704,36400.00357684115,72.88877897135306
10:24:00,36497.95627505812,36507.75754074677,36477.92146332481,36500.33459485221,36403.938126567075,73.24178681027466
10:27:00,36503.23475306341,36515.64013224471,36484.71038328739,36501.56307287985,36407.76655583424,73.49182027244184
10:30:00,36501.51323109117,36511.33727922101,36490.46607889519,36506.34155092995,36411.63224191643,74.57015532900378
10:33:00,36506.2417091414,36509.94313304451,36488.16939615623,36490.97002900253,36414.74352768451,64.69352702184278
10:36:00,36490.2701872141,36499.42224396468,36466.34518465199,36485.598507097566,36417.522154328166,61.37922316891744
10:39:00,36489.64866530927,36521.25467735446,36489.64866530927,36508.67698521508,36421.09685357863,69.27044668741827
10:42:00,36508.92714342691,36534.198818453726,36504.88584507845,36523.605463355074,36425.11679906006,73.37583708107826
10:45:00,36524.10562156702,36557.078720519385,36524.10562156702,36540.33394151752,36429.63511837212,77.3345208137341
10:48:00,36541.9340997296,36583.208939034186,36535.38631469874,36579.312419702444,36435.50481646351,83.85872897426057
10:51:00,36578.81257791465,36594.01479288553,36570.28710081422,36577.29089790984,36441.0650549516,82.42319756053601
10:54:00,36578.24105612216,36584.94342930714,36552.81004160632,36559.71937613969,36445.718165586426,70.23126257789833
10:57:00,36559.86953435215,36587.32965995045,36557.27048362686,36576.84785439203,36450.8605063239,74.51788174389765
11:00:00,36573.5480126046,36583.92633266683,36570.90180970663,36583.92633266683,36456.07877402362,76.17215470135349
11:03:00,36587.42649087953,36625.38630006831,36587.42649087953,36605.15481096409,36461.92489311933,80.58264991081406
11:06:00,36606.154969176925,36617.11636050217,36595.58075787673,36597.23328928384,36467.23110473362,74.57336411965677
11:09:00,36597.63344749678,36602.43582069112,36560.16176762604,36560.16176762604,36470.87544445489,52.99583750530141
11:12:00,36560.91192583912,36580.97584859243,36549.5339174633,36552.44024599072,36474.074064122964,49.514399157644874
11:15:00,36550.39040420392,36568.71840795122,36544.39942235746,36565.318724377874,36477.65228609375,55.23642906813704
11:18:00,36565.96888259119,36574.37173043116,36551.69688636059,36554.44720278749,36480.66385145429,49.68987710739567
11:21:00,36554.59736100094,36568.67520657885,36547.69989241623,36568.12568121958,36484.09372713135,56.15286003916736
11:24:00,36567.57583943315,36582.79371757151,36561.68026941351,36579.504159674136,36487.83531272127,61.01341658057155
11:27:00,36579.95431788783,36600.773145322986,36579.95431788783,36583.88263815116,36491.601874502834,62.86163513075744
11:30:00,36581.88279636498,36597.83548600009,36561.40937629726,36562.71111665066,36494.390472234125,49.59762925695102
11:33:00,36559.3612748646,36571.98105161368,36543.720767702805,36566.23959517262,36497.20808489838,51.583999237076036
