Date,Price
30-01-2020,30647.40
31-01-2020,30833.60
01-02-2020,29820.90
03-02-2020,30023.25
04-02-2020,30686.70
05-02-2020,31001.95
06-02-2020,31304.05
07-02-2020,31201.95
10-02-2020,31058.15
11-02-2020,31300.60
12-02-2020,31492.90
13-02-2020,31230.25
14-02-2020,30834.80
17-02-2020,30680.70
18-02-2020,30562.50
19-02-2020,30838.20
20-02-2020,30942.85
24-02-2020,30455.10
25-02-2020,30432.70
26-02-2020,30306.85
27-02-2020,30187.00
28-02-2020,29147.15
02-03-2020,28868.40
03-03-2020,29177.05
04-03-2020,28653.70
05-03-2020,28815.35
06-03-2020,27801.45
09-03-2020,26462.60
11-03-2020,26487.80
12-03-2020,23971.15
13-03-2020,25166.45
16-03-2020,23101.15
17-03-2020,22155.15
18-03-2020,20580.20
19-03-2020,20083.50
20-03-2020,20317.60
23-03-2020,16917.65
24-03-2020,17107.30
25-03-2020,18481.05
26-03-2020,19613.90
27-03-2020,19969.00
30-03-2020,18782.40
31-03-2020,19144.00
01-04-2020,18208.35
03-04-2020,17249.30
07-04-2020,19062.50
08-04-2020,18946.45
09-04-2020,19913.60
13-04-2020,19488.00
15-04-2020,19057.05
16-04-2020,19400.00
17-04-2020,20681.45
20-04-2020,20522.65
21-04-2020,19409.35
22-04-2020,19701.85
23-04-2020,20267.95
24-04-2020,19586.65
27-04-2020,20081.15
28-04-2020,20671.10
29-04-2020,21090.20
30-04-2020,21534.50
04-05-2020,19743.75
05-05-2020,19271.75
06-05-2020,19694.55
07-05-2020,19491.80
08-05-2020,19352.90
11-05-2020,18950.50
12-05-2020,18862.85
13-05-2020,19634.95
14-05-2020,19068.50
15-05-2020,18833.95
18-05-2020,17573.20
19-05-2020,17486.25
20-05-2020,17840.20
21-05-2020,17735.10
22-05-2020,17278.90
26-05-2020,17440.35
27-05-2020,18710.55
28-05-2020,19169.80
29-05-2020,19297.25
01-06-2020,19959.90
02-06-2020,20530.20
03-06-2020,20940.70
04-06-2020,20390.45
05-06-2020,21034.50
08-06-2020,21187.35
09-06-2020,20724.90
10-06-2020,21100.10
11-06-2020,20525.15
12-06-2020,20654.55
15-06-2020,19912.90
16-06-2020,20296.70
17-06-2020,20201.75
18-06-2020,20956.30
19-06-2020,21338.10
22-06-2020,21708.35
23-06-2020,22264.90
24-06-2020,21426.80
