Date,Date_name,expiry_date,start_time,future_price,min_average_price,max_average_price,Call_Ticker,Put_Ticker,call_sell_price,put_sell_price,end_time,call_buy_price,put_buy_price,min_profit,max_profit
05-03-2021,Friday,10-03-2021,09:20:00,35266.70800751204,26307.83875,33644.566,,BANKNIFTY10MAR2127300PE,,3.05,,,,0.0,0.0
08-03-2021,Monday,10-03-2021,09:20:00,35548.36207998477,26397.01575,33742.037,,BANKNIFTY10MAR2127300PE,,3.3,,,,0.0,0.0
09-03-2021,Tuesday,10-03-2021,09:20:00,35786.87518799987,26482.79125,33841.731,,BANKNIFTY10MAR2127300PE,,1.7,,,,0.0,0.0
10-03-2021,Wednesday,10-03-2021,09:20:00,36143.91644487657,26566.63375,33934.047,,BANKNIFTY10MAR2127300PE,,0.85,,,,0.0,0.0
10-03-2021,Wednesday,10-03-2021,,,,,,BANKNIFTY10MAR2127300PE,,,15:20:00,,0.2,-4.75,3.05
10-03-2021,Wednesday,10-03-2021,,,,,,BANKNIFTY10MAR2127300PE,,,15:20:00,,0.2,-1.0999999999999999,1.5999999999999999
10-03-2021,Wednesday,10-03-2021,,,,,,BANKNIFTY10MAR2127300PE,,,15:20:00,,0.2,-1.0999999999999999,0.7
10-03-2021,Wednesday,10-03-2021,,,,,,BANKNIFTY10MAR2127300PE,,,15:20:00,,0.2,-0.5000000000000001,0.7
08-11-2021,Monday,11-11-2021,09:20:00,39433.8181694176,35318.7535,38077.175,,BANKNIFTY11NOV2135300PE,,4.85,,,,0.0,0.0
09-11-2021,Tuesday,11-11-2021,09:20:00,39455.82506391458,35354.3635,38152.2,,BANKNIFTY11NOV2135400PE,,3.55,,,,0.0,0.0
10-11-2021,Wednesday,11-11-2021,09:20:00,39043.07864643806,35390.421,38220.109000000004,,BANKNIFTY11NOV2135400PE,,2.35,,,,0.0,0.0
11-11-2021,Thursday,11-11-2021,09:20:00,38787.16344925308,35421.09775,38264.36,,BANKNIFTY11NOV2135400PE,,0.9,,,,0.0,0.0
11-11-2021,Thursday,11-11-2021,,,,,,BANKNIFTY11NOV2135300PE,,,15:20:00,,0.05,-2.6000000000000005,4.85
11-11-2021,Thursday,11-11-2021,,,,,,BANKNIFTY11NOV2135400PE,,,15:20:00,,0.25,-1.2999999999999998,1.3
11-11-2021,Thursday,11-11-2021,,,,,,BANKNIFTY11NOV2135400PE,,,15:20:00,,0.25,-0.9500000000000001,1.3
11-11-2021,Thursday,11-11-2021,,,,,,BANKNIFTY11NOV2135400PE,,,15:20:00,,0.25,-0.9500000000000001,0.8
03-06-2022,Friday,09-06-2022,09:20:00,35887.52121770557,35733.261,36841.99175,,BANKNIFTY09JUN2235700PE,,336.55,,,,0.0,0.0
03-06-2022,Friday,09-06-2022,09:20:00,35887.52121770557,35733.261,36841.99175,BANKNIFTY09JUN2236800CE,,117.2,,,,,0.0,0.0
06-06-2022,Monday,09-06-2022,09:20:00,35351.290664861954,35716.518,36837.695999999996,BANKNIFTY09JUN2236800CE,,35.85,,,,,0.0,0.0
07-06-2022,Tuesday,09-06-2022,09:20:00,35033.1004382755,35705.896,36832.203499999996,BANKNIFTY09JUN2236800CE,,11.4,,,,,0.0,0.0
08-06-2022,Wednesday,09-06-2022,09:20:00,35099.65151751672,35696.617,36827.597,BANKNIFTY09JUN2236800CE,,8.45,,,,,0.0,0.0
09-06-2022,Thursday,09-06-2022,09:20:00,34774.383212087414,35684.116,36825.25175,BANKNIFTY09JUN2236800CE,,2.05,,,,,0.0,0.0
09-06-2022,Thursday,09-06-2022,,,,,BANKNIFTY09JUN2236800CE,,,,15:20:00,0.1,,-1.1499999999999915,77.95
09-06-2022,Thursday,09-06-2022,,,,,BANKNIFTY09JUN2236800CE,,,,15:20:00,0.1,,-0.9500000000000011,16.3
09-06-2022,Thursday,09-06-2022,,,,,BANKNIFTY09JUN2236800CE,,,,15:20:00,0.1,,-0.9500000000000011,4.999999999999999
09-06-2022,Thursday,09-06-2022,,,,,BANKNIFTY09JUN2236800CE,,,,15:20:00,0.1,,-0.9500000000000011,4.999999999999999
09-06-2022,Thursday,09-06-2022,,,,,BANKNIFTY09JUN2236800CE,,,,15:20:00,0.1,,-0.8500000000000001,1.9999999999999998
09-06-2022,Thursday,09-06-2022,,,,,,BANKNIFTY09JUN2235700PE,,,15:20:00,,627.15,-712.4000000000001,1.650000000000034
